Sezione 2.1,Sezione 2.1
Fratello,Брат
Fratelli,Братья
Insegnante,Учитель
Insegnanti,Учителья
Nome,Имя
Nomi,Имена
Tempo,Время
Tempi,Времена
Madre,Мать
Madri,Матери
Marito,Муж
Mariti,Мужья
Sedia,Стул
Sedie,Стулья
Sera,Вечер
Sere,Вечера
Bambino,Ребёнок
Bambini,Дети
Amico,Друг
Amici,Друзья
Figlio,Сын
Figli,Сыновья
Cappotto,Пальто
Cappotti,Пальто
Voce,Голос
Voci,Голоса
Mela ,Яблоко
Mele,Яблоки
Albero,Дерево
Alberi,Деревья
Numero,Номер
Numeri,Номера
Persona,Человек
Gente,Люди
Sezione 2.2,Sezione 2.2
"Sei una studentessa? No, sono l'insegnante","Ты студентка? Нет, Я преподаватель"
"Ecco la foto: loro sono le maestre, lui è un medico, noi siamo interpreti","Вот фотография:. они учительницы,. он врач,. мы переводчики"
"Lui è un giornalista? No, è un ingegnere","Он журналист? Нет, он инженер"
"E' lei il banchiere? No, sono un economista","Вы банкир? Нет, Я экономист"
"Sono insegnanti? No, sono ancora studenti","Они преподаватели? Нет, они ещё студенты"
Dove sono i turisti? Sono già qui?,Где туристы? Они уже здесь?
Sezione 3.1,Sezione 3.1
"Sei una maestra? No, sono una studentessa","Ты учительнича? Нет, Я студентка."
Chi è lui? E' un businessman.,Кто он? Он бизнесмен.
Loro sono studentesse,Они студентки.
Noi siamo medici/ е voi chi siete?,"Мы врачи,. а кто вы?"
Lui è interprete,Он переводчик.
E' lei il direttore?,Вы директор?
Chi sono loro? Sono insegnanti,Кто они? Они преподаватели.
Questi sono i turisti. Dove sono i colleghi?,Это туристы. Где коллеги?
Sezione 3.5,
"E' un vocabolario? No, non è un vocabolario,/ è un libro di testo","Это словарь? Нет, это не словарь, это учебник."
"E' un 'infermiera? No, non è un'infermiera, è un medico","Она медсестра? Нет, она не медсестра, она врач."
"Queste sono delle lettere? No, non sono delle lettere, sono documenti","Это письма? Нет, это не письма, это документы."
"Chi è lei? E' il direttore? No, non sono il direttore, sono l'interprete","Кто вы? Вы директор? Нет, Я не директор, Я переводчик."
"Il tuo amico è geologo? No, non è geologo, è un giornalista","Твой друг геолог? Нет, он не геолог, он журналист."
Sezione 4.1,Sezione 4.1
Questo è il vostro sito web,Это ваш сайт.
Questi sono i tuoi amici,Это твои друзья.
Questi sonо i miei dizionari,Это мои словари.
Questo è il mio cappotto,Это мой пальто.
Questa è la sua porta (di lei),Это её дверь.
Questa è la sua macchina (di lui),Это его машина.
Questa è la loro università,Это их университет.
Questa è la vostra insegnante,Это ваша учительница.
Questo è il vostro caffè ,Это ваш кофе.
Questo è il suo libro di testo (di lui),Это его учебник.
Sezione 4.2 SING.-PLUR.,Sezione 4.2 SING.-PLUR.
Это твой чемодан,Это твои чемоданы.
Вот наш словарь,Вот наши словари.
Это твоё место,Это твои места.
Вот ваш рюкзак,Вот ваши рюкзаки.
Это его сестра,Это их сёстры.
Это твой брат,Это твои братья.
Это её дом,Это их дома.
Вот моё платье,Вот мои платья.
Это её ребёнок,Это их дети.
Это их друг,Это их друзья.
Sezione 4.3,Sezione 4.3
Questo è Marco./ Questa è sua madre / e questi sono i suoi bambini/ e sua sorella,"Это Марко. Это его мать,. это его дети,. а это его сестра"
